userName,reviews,score,thumbsUpCount,reviewCreatedVersion,at,sentiment,noun,dominant_topic,confidence,dominant_topic_theme
A B C,aplikasinya pejabat harga diskon promosinya melambung pajanganya ribu ketikan dibeli berubah ribu,1,0,missing,2021-12-29 15:19:11,Negative,"['aplikasinya', 'pejabat', 'harga', 'diskon', 'promosinya', 'melambung', 'pajanganya', 'ribu', 'ketikan', 'berubah', 'ribu']",5,0.17634824250640527,ongkir
Bahrul Alamsyah,proses refund saldo menunggu pikir belanja pakaian gapa menunggu refund kau,1,0,8.3.5,2021-12-29 13:55:51,Negative,"['proses', 'refund', 'menunggu', 'pikir', 'belanja', 'gapa', 'menunggu', 'refund', 'kau']",3,0.9890076728950054,pembayaran
Agus Nurrohmad,pesan otomatis dibatalakan chat hasil,1,0,8.3.5,2021-12-29 12:10:44,Negative,"['otomatis', 'dibatalakan', 'chat', 'hasil']",3,0.6451648263059093,pembayaran
Annisa Aprianti hartono,unduh terus belanja pesan batalkan blipay nonaktifkan saldo terpotong aduh nyaman,1,0,missing,2021-12-29 12:07:01,Negative,"['belanja', 'blipay', 'saldo', 'aduh', 'nyaman']",3,0.48248098564078007,pembayaran
Alpha Xborg,gratis ongkos kirim khayalan,1,0,8.3.5,2021-12-29 09:36:01,Negative,"['gratis', 'khayalan']",5,4.2377165608080605e-05,ongkir
yeah as,selamat kehilangan konsumen,1,0,missing,2021-12-29 09:31:45,Negative,"['selamat', 'kehilangan', 'konsumen']",0,0.9677352115880575,barang
揺れしない,apa spin wheel realme poin doang bangkai,1,0,8.3.5,2021-12-29 08:11:32,Negative,"['spin', 'wheel', 'realme', 'poin', 'doang', 'bangkai']",1,0.7782956761525934,kredit
Rama Wahyu,aplikasi commerce terburuk daftar masuk aplikasi lambat konten isinya,1,0,missing,2021-12-29 00:37:21,Negative,"['commerce', 'terburuk', 'daftar', 'masuk', 'aplikasi', 'lambat', 'konten']",2,0.35001420546048034,pencarian
Ryan nasa,check batalkan parah,1,0,8.3.0,2021-12-28 21:35:54,Negative,"['check', 'batalkan', 'parah']",3,0.09080011604309657,pembayaran
SERU NGAKAK,beli diamond jenis vocer seller pakai playlater kasih bintang,1,0,8.3.5,2021-12-28 21:09:27,Negative,"['diamond', 'jenis', 'vocer', 'seller', 'pakai', 'playlater', 'kasih', 'bintang']",3,0.03810012118898623,pembayaran
